employee_id,department,tenure_years,engagement_score,open_comment
E040,Engineering,7.3,2,"Hard to focus due to constant context switching."
E041,Finance,3.7,4,"Good balance and reliable processes."
E042,Marketing,1.9,2,"Feeling disconnected from leadership decisions."
E043,Sales,3.5,4,"Great mentorship and helpful peers."
E044,Engineering,4.6,3,"Lots of smart teammates but deadlines are unrealistic."
E045,People,1.7,3,"Good culture but wish we had more clarity on priorities."
E046,Support,2.4,4,"Team morale is improving with recent changes."
E047,Engineering,0.8,2,"Onboarding lacked structure and left me confused."
E048,Finance,6.5,5,"Manager provides clear guidance and support."
E049,Marketing,2.6,4,"Creative freedom is a big plus."
E050,Sales,1.3,2,"Unclear expectations and pressure from leadership."
E051,Engineering,3.9,4,"Like the autonomy and technical challenges."
E052,People,2.0,5,"Strong collaboration and psychological safety."
E053,Support,1.4,3,"Workflow could be smoother with better tooling."
E054,Finance,4.2,2,"Too many manual processes causing delays."
E055,Marketing,0.9,3,"Team is fun but we need better planning."
E056,Sales,2.2,4,"Customer-facing experiences are helping me grow."
E057,Engineering,5.2,5,"Challenging work and great teammates."
E058,People,3.0,2,"Leadership direction is unclear lately."
E059,Support,3.1,4,"Workload feels reasonable and manager is supportive."
E060,Engineering,1.4,2,"Need more clarity in performance expectations."
E061,Finance,2.3,4,"Good work-life balance and supportive teammates."
E062,Marketing,4.7,5,"I feel encouraged to innovate and take risks."
E063,Sales,0.6,3,"Training program is okay but could be updated."
E064,Engineering,6.0,3,"Like the projects but feel disconnected from leadership."
E065,People,1.5,4,"Team is supportive and collaborative."
E066,Support,2.9,2,"Schedule changes make planning life difficult."
E067,Finance,3.2,3,"Meetings could be more efficient."
E068,Marketing,1.8,4,"Enjoy the creative campaigns we're launching."
E069,Sales,4.0,5,"Strong culture and helpful peers."
E070,Engineering,2.7,2,"Deadlines are too aggressive and affecting morale."
E071,People,4.1,3,"Good team but communications can be siloed."
E072,Support,1.1,2,"Hard to keep up with ticket volume lately."
E073,Finance,5.5,4,"Leadership sets realistic expectations."
E074,Marketing,3.6,5,"My manager really values my ideas."
E075,Sales,2.8,3,"Targets are achievable but require long hours."
E076,Engineering,0.7,3,"Would like more structured learning opportunities."
E077,People,2.5,5,"Leadership listens and acts on feedback."
E078,Support,2.6,3,"Would appreciate more coaching sessions."
E079,Finance,6.8,4,"I feel trusted to manage my work."
E080,Marketing,2.4,2,"A lot of last-minute changes lately."
E081,Sales,1.9,4,"Team is supportive and leadership is communicative."
E082,Engineering,5.0,3,"Need clearer priorities from leadership."
E083,People,3.8,4,"Team collaboration is strong and productive."
E084,Support,0.4,3,"Good peers but stressful workload."
E085,Finance,1.6,2,"Expectations aren't clearly communicated."
E086,Marketing,4.1,4,"Love the hybrid schedule and creative team energy."
E087,Sales,3.7,5,"Manager is motivating and provides clear feedback."
E088,Engineering,3.3,4,"I appreciate autonomy but planning feels chaotic."
E089,People,0.9,3,"Onboarding was okay but more clarity would help."
E090,Support,4.0,2,"Processes break often which is frustrating."
E091,Finance,2.0,4,"Good development opportunities when I seek them out."
E092,Marketing,1.3,3,"Team is supportive but direction changes often."
E093,Sales,4.4,5,"Strong sense of purpose in the work."
E094,Engineering,2.2,3,"Communication from leadership could improve."
E095,People,5.3,5,"I feel valued and empowered to do my best work."
E096,Support,1.0,3,"Wish we had better tools to track tickets."
E097,Finance,3.4,2,"Limited transparency around decisions."
E098,Marketing,2.7,4,"Really enjoy collaborating with my team."
E099,Sales,0.5,3,"Team spirit is good but onboarding could be stronger."
E100,Engineering,4.8,5,"Strong engineering leadership and interesting challenges."
